score,scoreAlt,standard,stdText,charge240,cylinders,displ,drive,engId,eng_dscr,feScore,fuelType,hlv,hpv,lv2,lv4,make,model,pv2,pv4,trany,VClass,year,trans_dscr,atvType,startStop,Barrels,City,Co2,comb,Highway,Charger,ghgScoreavg
7.0,-1.0,T3B30,Federal Tier 3 Bin 30,0.0,6.0,3.0,4-Wheel Drive,774,SIDI; Mild Hybrid,5,Premium,0,0,0,0,Jaguar,F-Pace P400 MHEV,0,0,Automatic (S8),Small Sport Utility Vehicle 4WD,2022,,Hybrid,Y,13.52318181818182,19,407,22,26,0,5.0
1.0,-1.0,T3B160,Federal Tier 3 Bin 160,0.0,6.0,3.5,Rear-Wheel Drive,65,SIDI & PFI; FFV,3,Gasoline or E85,0,0,0,0,Ford,Transit T150 Wagon 2WD FFV,0,0,Automatic (S10),"Vans, Passenger Type",2022,,FFV,N,22.823088235294115,26,1046,29,34,0,3.0
1.0,-1.0,T3B160,Federal Tier 3 Bin 160,0.0,6.0,3.5,All-Wheel Drive,64,SIDI & PFI; FFV,3,Gasoline or E85,0,0,0,0,Ford,Transit T150 Wagon 4WD FFV,0,0,Automatic (S10),"Vans, Passenger Type",2022,,FFV,N,23.916874999999997,25,1089,28,32,0,3.0
3.0,-1.0,T3B125,Federal Tier 3 Bin 125,0.0,4.0,2.0,All-Wheel Drive,245,SIDI,5,Premium,0,0,0,12,Mercedes-Benz,AMG GLA45 4matic,0,102,Automatic (AM8),Small Station Wagons,2022,,,Y,13.52318181818182,19,408,22,25,T,5.0
3.0,-1.0,T3B125,Federal Tier 3 Bin 125,0.0,4.0,2.0,All-Wheel Drive,210,SIDI,5,Premium,0,0,12,0,Mercedes-Benz,AMG CLA45 4matic,89,0,Automatic (AM8),Compact Cars,2022,,,Y,12.935217391304349,20,391,23,28,T,5.0
3.0,-1.0,T3B125,Federal Tier 3 Bin 125,0.0,6.0,3.5,Rear-Wheel Drive,167,SIDI & PFI,2,Premium,0,0,0,0,Ford,GT,43,0,Automatic (AM7),Two Seaters,2022,,,N,21.250714285714285,12,631,14,18,T,2.0
6.0,-1.0,T3B50,Federal Tier 3 Bin 50,0.0,4.0,2.0,Front-Wheel Drive,203,SIDI,6,Regular,0,0,0,23,Nissan,Rogue Sport,0,96,Automatic (AV-S8),Small Station Wagons,2022,,,N,10.625357142857142,25,317,28,32,0,6.0
6.0,-1.0,T3B50,Federal Tier 3 Bin 50,0.0,4.0,2.0,All-Wheel Drive,201,SIDI,6,Regular,0,0,0,23,Nissan,Rogue Sport AWD,0,96,Automatic (AV-S8),Small Station Wagons,2022,,,N,11.018888888888888,24,329,27,30,0,6.0
3.0,-1.0,T3B125,Federal Tier 3 Bin 125,0.0,4.0,2.4,All-Wheel Drive,25,SIDI,4,Premium,0,0,0,12,Subaru,WRX,0,99,Automatic (AV-S8),Midsize Cars,2022,,,N,14.167142857142858,19,418,21,25,T,4.0
3.0,-1.0,T3B125,Federal Tier 3 Bin 125,0.0,4.0,2.4,All-Wheel Drive,24,SIDI,5,Premium,0,0,0,12,Subaru,WRX,0,99,Manual 6-spd,Midsize Cars,2022,,,N,13.52318181818182,19,406,22,26,T,5.0
3.0,-1.0,L3ULEV125,California LEV-III ULEV125,0.0,8.0,5.0,Rear-Wheel Drive,80,,3,Regular,0,0,11,0,Ford,Mustang Convertible,80,0,Automatic (S10),Subcompact Cars,2022,,,Y,16.528333333333336,15,496,18,23,0,3.0
5.0,-1.0,T3B70,Federal Tier 3 Bin 70,0.0,4.0,2.3,Rear-Wheel Drive,79,SIDI,5,Regular,0,0,12,0,Ford,Mustang HO Convertible,85,0,Automatic (S10),Subcompact Cars,2022,,,Y,13.52318181818182,19,403,22,26,T,5.0
5.0,-1.0,T3B70,Federal Tier 3 Bin 70,0.0,4.0,2.3,Rear-Wheel Drive,78,SIDI,5,Regular,0,0,11,0,Ford,Mustang Convertible,80,0,Automatic (S10),Subcompact Cars,2022,,,Y,12.935217391304349,20,385,23,28,T,5.0
5.0,-1.0,T3B70,Federal Tier 3 Bin 70,0.0,4.0,2.3,Rear-Wheel Drive,77,SIDI,5,Regular,0,0,11,0,Ford,Mustang Convertible,80,0,Manual 6-spd,Subcompact Cars,2022,,,N,12.935217391304349,20,385,23,27,T,5.0
5.0,-1.0,T3B70,Federal Tier 3 Bin 70,0.0,4.0,2.3,Rear-Wheel Drive,76,SIDI,5,Regular,0,0,11,0,Ford,Mustang Convertible,80,0,Automatic 10-spd,Subcompact Cars,2022,,,Y,12.935217391304349,20,385,23,28,T,5.0
5.0,-1.0,L3ULEV70,California LEV-III ULEV70,0.0,4.0,2.3,Rear-Wheel Drive,75,SIDI,4,Regular,0,0,12,0,Ford,Mustang HO Convertible,85,0,Manual 6-spd,Subcompact Cars,2022,,,N,14.167142857142858,19,422,21,25,T,4.0
3.0,-1.0,T3B125,Federal Tier 3 Bin 125,0.0,8.0,5.0,Rear-Wheel Drive,74,,3,Regular,0,0,14,0,Ford,Mustang Mach 1,83,0,Manual 6-spd,Subcompact Cars,2022,,,N,17.500588235294117,14,522,17,22,0,3.0
3.0,-1.0,T3B125,Federal Tier 3 Bin 125,0.0,8.0,5.0,Rear-Wheel Drive,73,,3,Regular,0,0,14,0,Ford,Mustang Mach 1,83,0,Automatic (S10),Subcompact Cars,2022,,,Y,16.528333333333336,15,492,18,23,0,3.0
3.0,-1.0,T3B125,Federal Tier 3 Bin 125,0.0,8.0,5.0,Rear-Wheel Drive,72,,4,Regular,0,0,13,0,Ford,Mustang,83,0,Automatic (S10),Subcompact Cars,2022,,,Y,15.65842105263158,15,478,19,24,0,4.0
3.0,-1.0,T3B125,Federal Tier 3 Bin 125,0.0,8.0,5.0,Rear-Wheel Drive,71,,3,Regular,0,0,13,0,Ford,Mustang,83,0,Manual 6-spd,Subcompact Cars,2022,,,N,16.528333333333336,15,499,18,24,0,3.0
